"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Leaving on a jet plane...<ed><U+00A0><U+00BD><ed><U+00BB><U+00AB> <ed><U+00A0><U+00BD><ed><U+00B1><U+008B><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> @PITairport @JetBlue",FALSE,3,NA,2016-09-29 23:58:53,FALSE,NA,"781644449415823364",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","g_thomas",0,FALSE,FALSE,NA,NA
"RT @SecretFlying: **UPDATE** @AmericanAir have matched @JetBlue's $99 fares from the USA to Puerto Rico!!

https://t.co/89zbcGAwAt https://…",FALSE,0,NA,2016-09-29 23:56:30,FALSE,NA,"781643849030656000",NA,"<a href=""http://tweedleapp.com/"" rel=""nofollow""> Tweedle</a>","squeakyMissA",20,TRUE,FALSE,NA,NA
"@JetBlue #ICHIPINSWEEPSTAKES American Red Cross is pretty important!",FALSE,0,"JetBlue",2016-09-29 23:55:27,FALSE,NA,"781643586471243776","6449282","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","datoro21",0,FALSE,FALSE,NA,NA
"Cross country flight with no tv, thanks a lot @jetblue #flight687 #nofootball #iflyjetbluefortv",FALSE,2,NA,2016-09-29 23:52:14,FALSE,NA,"781642776073105408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","machtomach",1,FALSE,FALSE,NA,NA
"Haha @JetBlue's support line is playing @HAIMtheband's the Wire. Best on hold music ever",FALSE,1,NA,2016-09-29 23:51:30,FALSE,NA,"781642588730236928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChrlsCunnlngham",0,FALSE,FALSE,NA,NA
"The ""Fly faster than you think"" commercial is HILARITY!!!!!!! I LOVE YOU @JetBlue this ain't even an ad. That's my life<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+008B>",FALSE,7,NA,2016-09-29 23:49:55,FALSE,NA,"781642192251133952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SunnyAnderson",1,FALSE,FALSE,NA,NA
"@JetBlue which was described in the seat upgrade. Basically I'm way worse off haha",FALSE,0,"JetBlue",2016-09-29 23:44:25,FALSE,"781639950852841472","781640806578974722","6449282","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EricBarry",0,FALSE,FALSE,NA,NA
"@JetBlue i'm not sure why I paid so much more then. Now I'm even later (on a twin delayed flight) to check a bag. There's also no outlet",FALSE,0,"JetBlue",2016-09-29 23:44:05,FALSE,"781639949141569536","781640724110598144","6449282","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EricBarry",0,FALSE,FALSE,NA,NA
"I like @JetBlue... But a three hour delay, THREE hours with which I would have cont'd to enjoy #Epcot F&amp;W Fest... Not cool. #EvenMoreDelays",FALSE,2,NA,2016-09-29 23:44:03,FALSE,NA,"781640714497196032",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","NJMeeks",0,FALSE,FALSE,NA,NA
"Grt day @JetBlue Swing For Good supporting grt causes. Thanks Avis! @Wright7S https://t.co/zUmNmIwsQx",FALSE,12,NA,2016-09-29 23:42:09,FALSE,NA,"781640237818589184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jlgeraghty",3,FALSE,FALSE,NA,NA
"@JetBlue any help?",FALSE,0,"EricBarry",2016-09-29 23:40:48,FALSE,"781639662267953153","781639897702666240","109536457","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EricBarry",0,FALSE,FALSE,NA,NA
"@JetBlue and then was told I can't stow anything",FALSE,0,"EricBarry",2016-09-29 23:39:52,FALSE,"781639224357445632","781639662267953153","109536457","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EricBarry",0,FALSE,FALSE,NA,NA
"RT @Joe_Gatto: Hey @Delta @JetBlue @AmericanAir @VirginAmerica @united ... who wants to donate for my charity drive?  Just need 2 tix to #v…",FALSE,0,NA,2016-09-29 23:38:41,FALSE,NA,"781639366540222464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Porzio_Larry",70,TRUE,FALSE,NA,NA
"@jetblue - you guys charged me to upgrade row 1 (first time i've ever upgraded on a plane) &amp; then told me I had to check my bag boarding :/",FALSE,0,"JetBlue",2016-09-29 23:38:07,FALSE,NA,"781639224357445632","6449282","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EricBarry",0,FALSE,FALSE,NA,NA
"@Teacloc @JetBlue @AttackOfTheAfro @DzLive_ maaan. Wish I was going this year.",FALSE,1,"Teacloc",2016-09-29 23:38:02,FALSE,"781634885018456066","781639200751878144","2726854313","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ThrillzillaTV",0,FALSE,FALSE,NA,NA
"RT @SecretFlying: CRAZY HOT!! New York to Ponce, Puerto Rico for only $95 roundtrip with @JetBlue

https://t.co/D0BnUD0hIT https://t.co/Uty…",FALSE,0,NA,2016-09-29 23:37:24,FALSE,NA,"781639043260018688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","azucar77",25,TRUE,FALSE,NA,NA
"RT @Joe_Gatto: Hey @Delta @JetBlue @AmericanAir @VirginAmerica @united ... who wants to donate for my charity drive?  Just need 2 tix to #v…",FALSE,0,NA,2016-09-29 23:36:22,FALSE,NA,"781638781170356226",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","StacyandEstelle",70,TRUE,FALSE,NA,NA
"RT @Joe_Gatto: Hey @Delta @JetBlue @AmericanAir @VirginAmerica @united ... who wants to donate for my charity drive?  Just need 2 tix to #v…",FALSE,0,NA,2016-09-29 23:36:03,FALSE,NA,"781638702669758464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WhatSayYouPod",70,TRUE,FALSE,NA,NA
"RT @JetBlue: “Traveling is what keeps you going. You have much more energy, many stories to tell.” - Zack Orion #LetMusicMoveYou https://t.…",FALSE,0,NA,2016-09-29 23:35:43,FALSE,NA,"781638620583198721",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MarcKamhi1",22,TRUE,FALSE,NA,NA
