"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","screenName","retweetCount","retweeted","c_hour","c_weekday","c_monthday","source","mobile_source"
"1","Leaving on a jet plane...<ed><U+00A0><U+00BD><ed><U+00BB><U+00AB> <ed><U+00A0><U+00BD><ed><U+00B1><U+008B><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> @PITairport @JetBlue",FALSE,3,NA,2016-09-29 23:58:53,FALSE,NA,"781644449415823360",NA,"g_thomas",0,FALSE,18,4,29,"Twitter for iPhone",TRUE
"2","@JetBlue #ICHIPINSWEEPSTAKES American Red Cross is pretty important!",FALSE,0,"JetBlue",2016-09-29 23:55:27,FALSE,NA,"781643586471243776","6449282","datoro21",0,FALSE,18,4,29,"Twitter for Android",TRUE
"3","Cross country flight with no tv, thanks a lot @jetblue #flight687 #nofootball #iflyjetbluefortv",FALSE,2,NA,2016-09-29 23:52:14,FALSE,NA,"781642776073105408",NA,"machtomach",1,TRUE,18,4,29,"Twitter for iPhone",TRUE
"4","Haha @JetBlue's support line is playing @HAIMtheband's the Wire. Best on hold music ever",FALSE,1,NA,2016-09-29 23:51:30,FALSE,NA,"781642588730236928",NA,"ChrlsCunnlngham",0,FALSE,18,4,29,"Twitter for Android",TRUE
"5","The ""Fly faster than you think"" commercial is HILARITY!!!!!!! I LOVE YOU @JetBlue this ain't even an ad. That's my life<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+008B>",FALSE,7,NA,2016-09-29 23:49:55,FALSE,NA,"781642192251133952",NA,"SunnyAnderson",1,TRUE,18,4,29,"Twitter for Android",TRUE
"6","@JetBlue which was described in the seat upgrade. Basically I'm way worse off haha",FALSE,0,"JetBlue",2016-09-29 23:44:25,FALSE,"781639950852841472","781640806578974720","6449282","EricBarry",0,FALSE,18,4,29,"Twitter for iPhone",TRUE
"7","@JetBlue i'm not sure why I paid so much more then. Now I'm even later (on a twin delayed flight) to check a bag. There's also no outlet",FALSE,0,"JetBlue",2016-09-29 23:44:05,FALSE,"781639949141569536","781640724110598144","6449282","EricBarry",0,FALSE,18,4,29,"Twitter for iPhone",TRUE
"8","I like @JetBlue... But a three hour delay, THREE hours with which I would have cont'd to enjoy #Epcot F&amp;W Fest... Not cool. #EvenMoreDelays",FALSE,2,NA,2016-09-29 23:44:03,FALSE,NA,"781640714497196032",NA,"NJMeeks",0,FALSE,18,4,29,"TweetCaster for Android",TRUE
"9","Grt day @JetBlue Swing For Good supporting grt causes. Thanks Avis! @Wright7S https://t.co/zUmNmIwsQx",FALSE,12,NA,2016-09-29 23:42:09,FALSE,NA,"781640237818589184",NA,"jlgeraghty",3,TRUE,18,4,29,"Twitter for iPhone",TRUE
"10","@JetBlue any help?",FALSE,0,"EricBarry",2016-09-29 23:40:48,FALSE,"781639662267953152","781639897702666240","109536457","EricBarry",0,FALSE,18,4,29,"Twitter for iPhone",TRUE
"11","@JetBlue and then was told I can't stow anything",FALSE,0,"EricBarry",2016-09-29 23:39:52,FALSE,"781639224357445632","781639662267953152","109536457","EricBarry",0,FALSE,18,4,29,"Twitter for iPhone",TRUE
"12","@jetblue - you guys charged me to upgrade row 1 (first time i've ever upgraded on a plane) &amp; then told me I had to check my bag boarding :/",FALSE,0,"JetBlue",2016-09-29 23:38:07,FALSE,NA,"781639224357445632","6449282","EricBarry",0,FALSE,18,4,29,"Twitter for iPhone",TRUE
"13","@Teacloc @JetBlue @AttackOfTheAfro @DzLive_ maaan. Wish I was going this year.",FALSE,1,"Teacloc",2016-09-29 23:38:02,FALSE,"781634885018456064","781639200751878144","2726854313","ThrillzillaTV",0,FALSE,18,4,29,"Twitter for Android",TRUE
"14","BOS<U+2708><U+FE0F>PDX @JetBlue #evenmorespace #rowtomyself #vacation",FALSE,0,NA,2016-09-29 23:32:19,FALSE,NA,"781637762390691840",NA,"TorilyeL",0,FALSE,18,4,29,"Twitter for iPhone",TRUE
"15","Flight #21 of 2016: @JetBlue @FLLFlyer --&gt; @LASairport w/ @AshleyMaine. #VegasBound #WinnerWinnerChickenDinner https://t.co/g9MYjKAG60",FALSE,3,NA,2016-09-29 23:32:11,FALSE,NA,"781637730589634560",NA,"NPappas23",0,FALSE,18,4,29,"Twitter for iPhone",TRUE
"16","@JetBlue just make sure Jonathan at the just ask desk in Boston gets a raise because he was the only helpful person!",FALSE,2,"JetBlue",2016-09-29 23:31:39,FALSE,"781601036515602432","781637594018897920","6449282","bugglyboo21",0,FALSE,18,4,29,"Twitter for Android",TRUE
"17","@JetBlue for the flight to have been on time it would have had to leave there at 4. You told us of the delay at 6",FALSE,0,"RHornik",2016-09-29 23:30:47,FALSE,"781635426318708736","781637378880466944","778269660","RHornik",0,FALSE,18,4,29,"Twitter for iPhone",TRUE
"18","@Joe_Gatto @Delta @JetBlue @AmericanAir @VirginAmerica @united I'm curious to know who donates?",FALSE,0,"Joe_Gatto",2016-09-29 23:29:05,FALSE,"781544049232715776","781636951145185280","473493882","arsla",0,FALSE,18,4,29,"Twitter for iPhone",TRUE
"19","@jetblue This is not just an inconvenience. I will not be able to pick up my rental car and will have trouble getting to my hotel",FALSE,0,"JetBlue",2016-09-29 23:23:02,FALSE,"781633644494487552","781635426318708736","6449282","RHornik",0,FALSE,18,4,29,"Twitter for iPhone",TRUE
"20","@DzLive_ @JetBlue  Fly safe and share lots!",FALSE,1,"DzLive_",2016-09-29 23:20:59,FALSE,NA,"781634911262289920","2305944157","Ladiesrdtable",0,FALSE,18,4,29,"Twitter Web Client",FALSE
"21","For those wondering, they did search his afro at Security. When they realized it was real...polite applause

Love t… https://t.co/rolA42ryfE",FALSE,14,NA,2016-09-29 23:20:53,TRUE,NA,"781634885018456064",NA,"Teacloc",2,TRUE,18,4,29,"Twitter for Android",TRUE
"22","On @JetBlue from JFK-&gt;LA and my seats headset input is broken! 6 hours, I can't even watch TV! All I got was $15 towards my next flight, smh",FALSE,0,NA,2016-09-29 23:20:29,FALSE,NA,"781634786599120896",NA,"SteveClair",0,FALSE,18,4,29,"Twitter Web Client",FALSE
"23","And we are off to #TwitchCon @JetBlue you rock! W/ @Teacloc @attackoftheafro https://t.co/gmHBDCzL3R",FALSE,12,NA,2016-09-29 23:18:30,FALSE,NA,"781634284398542848",NA,"DzLive_",1,TRUE,18,4,29,"Twitter for iPhone",TRUE
"24","@JetBlue 65",FALSE,0,"JetBlue",2016-09-29 23:10:33,FALSE,"781631639847890944","781632284357255168","6449282","RHornik",0,FALSE,18,4,29,"Twitter for iPhone",TRUE
"25","@JetBlue good to hear that. Thanks",FALSE,0,"JetBlue",2016-09-29 23:04:49,FALSE,"781630738848485376","781630840543580160","6449282","samarp86",0,FALSE,18,4,29,"Twitter for iPhone",TRUE
"26","@JetBlue oh, and if you want your passengers to understand why they have been inconvenienced, how about being transparent about why?",FALSE,0,"RHornik",2016-09-29 23:03:07,FALSE,"781628629079957504","781630412791484416","778269660","RHornik",0,FALSE,18,4,29,"Twitter Web Client",FALSE
"27","Thank you @QueensTrib @MelindaKatz honoring @MMViverito @TeatroThalia @QC_News with @JetBlue @AstoriaBank https://t.co/8b59iA37F0",FALSE,4,NA,2016-09-29 23:01:45,FALSE,NA,"781630069785653248",NA,"LICPartnership",1,TRUE,18,4,29,"Twitter for Android",TRUE
"28","We are looking forward to having @JetBlue on campus for #ERAUExpo16 1 wk. from today! Learn more about JetBlue here: https://t.co/lVyNLtJH1L",FALSE,1,NA,2016-09-29 23:01:31,FALSE,NA,"781630012508237824",NA,"ERAU_CareerSvcs",0,FALSE,18,4,29,"Hootsuite",FALSE
"29","@JetBlue B61445 BOS-CLT 9/29",FALSE,0,"JetBlue",2016-09-29 23:00:12,FALSE,"781614646692290560","781629681489633280","6449282","LoganSeth",0,FALSE,18,4,29,"Twitter for iPhone",TRUE
"30","k @JetBlue you officially suck for only letting us know an hour before take off that the flight was cancelled .",FALSE,2,NA,2016-09-29 22:58:37,FALSE,NA,"781629283798093824",NA,"lalaemgee",0,FALSE,17,4,29,"Twitter for iPhone",TRUE
"31","@JetBlue Any idea why 122 from West palm to Boston delayed by 23 minutes?",FALSE,0,"JetBlue",2016-09-29 22:58:04,FALSE,NA,"781629145835069440","6449282","samarp86",0,FALSE,17,4,29,"Twitter for iPhone",TRUE
"32","@EtihadAirways  #poor customer service FYI @AmericanAir @JetBlue  poor alliance",FALSE,0,"EtihadAirways",2016-09-29 22:57:37,FALSE,NA,"781629030760087552","45621423","dinozzo1947",0,FALSE,17,4,29,"Twitter for Android",TRUE
"33","I love the way airlines tell you your flight is 90 mins late 90 mins before departure And then tell you how hard they work. Thanks @JetBlue",FALSE,0,NA,2016-09-29 22:56:01,FALSE,NA,"781628629079957504",NA,"RHornik",0,FALSE,17,4,29,"Twitter for iPhone",TRUE
"34","@_sLh86 Post your @JetBlue Complaint on https://t.co/nbrmiHdxgA to hold them accountable and get results. #AirlineComplaints",FALSE,0,"_sLh86",2016-09-29 22:54:02,FALSE,NA,"781628127915147264","354998166","AirComplaints",0,FALSE,17,4,29,"Buffer",FALSE
"35","@scottsalesforce My @JetBlue flight this evening is also delayed. By 2.5 hours.",FALSE,0,"scottsalesforce",2016-09-29 22:45:11,FALSE,"781624795498766336","781625903055011840","2203780428","_MattWelch_",0,FALSE,17,4,29,"Tweetbot for Mac",FALSE
"36","Flying @JetBlue tomorrow to catch the @RedSox game and see David play one last time! #ThanksPapi",FALSE,1,NA,2016-09-29 22:44:15,FALSE,NA,"781625668228513792",NA,"AaronKerkvliet",0,FALSE,17,4,29,"Twitter for iPhone",TRUE
"37","Just realized tweeting about not tweeting about my flight delay makes me a flight delay tweeter. I need to do better, and so does @JetBlue",FALSE,1,NA,2016-09-29 22:40:47,FALSE,NA,"781624795498766336",NA,"scottsalesforce",0,FALSE,17,4,29,"Twitter for iPhone",TRUE
"38","This was my reaction when they announce to not plug in any Note 7 phone son my @JetBlue flight https://t.co/15Y1usCD4U",FALSE,1,NA,2016-09-29 22:40:36,FALSE,NA,"781624747356545024",NA,"taz8080",0,FALSE,17,4,29,"Twitter for iPhone",TRUE
"39","Why is it that no matter what @jetblue terminal I am in, they are playing Nirvana? #LeavingOnAJetPlane #SeeYaLaterNYC",FALSE,2,NA,2016-09-29 22:39:10,FALSE,NA,"781624388852457472",NA,"MissTVotes",0,FALSE,17,4,29,"Twitter for Android",TRUE
"40","Just enjoying our ""third world country of an airport"" here in the @JetBlue terminal in boston good call… https://t.co/m8A3Ho5egH",FALSE,3,NA,2016-09-29 22:35:58,TRUE,NA,"781623580589166592",NA,"LAAG_Fashion",0,FALSE,17,4,29,"Twitter for iPhone",TRUE
"41","I'll also be missing @TheFrontBottoms, @FRabbits, @ColdWarKids, @bandofhorses. Thanks, @JetBlue!!!!!!!!!!!!!",FALSE,1,"shmadison",2016-09-29 22:30:24,FALSE,"781619392954060800","781622180891140096","60741476","shmadison",0,FALSE,17,4,29,"Twitter for iPhone",TRUE
"42","@JetBlue My flight was delayed. I was not notified of this until I arrived at my gate.",FALSE,1,"JetBlue",2016-09-29 22:30:22,FALSE,NA,"781622173232402432","6449282","amsel_dani",0,FALSE,17,4,29,"Twitter for iPhone",TRUE
